identifier,description_identifier,question,sparql,answer,answer_id,id_sparql
Orange_02,Orange,What answer is reached by this graph path: Orange --kg:beIn--> Provence-Alpes-Côte d'Azur?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'orange')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'provence-alpes-côte d\'azur')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Provence-Alpes-Côte d'Azur,wd:Q15104,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q187796> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q15104>)
} LIMIT 1"
Orange_03,Orange,What answer is reached by this graph path: Orange --kg:beIn--> region?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'orange')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'region')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",region,wd:Q82794,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q187796> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q82794>)
} LIMIT 1"
Java_01,Java,What answer is reached by this graph path: Java --kg:be--> High Level?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'java')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'high level')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",High Level,wd:Q430949,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q251> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q430949>)
} LIMIT 1"
Java_02,Java,What answer is reached by this graph path: JSON --kg:transmit--> object?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'json')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'object')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",object,wd:Q488383,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q2063> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q488383>)
} LIMIT 1"
Java_03,Java,What answer is reached by this graph path: Java --kg:be--> object-oriented programming?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'java')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'object-oriented programming')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",object-oriented programming,wd:Q79872,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q251> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q79872>)
} LIMIT 1"
Python_01,Python,What answer is reached by this graph path: Python --kg:be--> High Level?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'python')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'high level')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",High Level,wd:Q430949,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q28865> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q430949>)
} LIMIT 1"
Python_02,Python,What answer is reached by this graph path: Python --kg:be--> language?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'python')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'language')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",language,wd:Q34770,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q28865> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q34770>)
} LIMIT 1"
Python_03,Python,What answer is reached by this graph path: Python --kg:emphasize--> Code?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'python')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'code')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Code,wd:Q37141227,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q28865> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q37141227>)
} LIMIT 1"
Mercury_01,Mercury,What answer is reached by this graph path: Mercury --kg:produceBy--> manufacturer?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'mercury')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'manufacturer')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",manufacturer,wd:Q13235160,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q613883> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q13235160>)
} LIMIT 1"
Mercury_02,Mercury,What answer is reached by this graph path: Mercury --kg:produceBy--> Ford Motor Company?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'mercury')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'ford motor company')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Ford Motor Company,wd:Q44294,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q613883> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q44294>)
} LIMIT 1"
Mercury_03,Mercury,What answer is reached by this graph path: Mercury --kg:produceBetween--> 1939?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'mercury')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = '1939')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",1939,wd:Q18639,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q613883> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q18639>)
} LIMIT 1"
Saturn_01,Saturn,What answer is reached by this graph path: Saturn --kg:beIn--> Roman?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'saturn')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'roman')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Roman,wd:Q933726,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q134388> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q933726>)
} LIMIT 1"
Saturn_02,Saturn,What answer is reached by this graph path: Saturn --kg:beIn--> religion?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'saturn')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'religion')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",religion,wd:Q9174,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q134388> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q9174>)
} LIMIT 1"
Saturn_03,Saturn,What answer is reached by this graph path: Saturn --kg:be--> character?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'saturn')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'character')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",character,wd:Q95074,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q134388> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q95074>)
} LIMIT 1"
Amazon_01,Amazon,What answer is reached by this graph path: Amazon --kg:be--> technology?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'amazon')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'technology')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",technology,wd:Q11016,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q3884> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q11016>)
} LIMIT 1"
Amazon_02,Amazon,What answer is reached by this graph path: Amazon --kg:engageIn--> e-commerce?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'amazon')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'e-commerce')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",e-commerce,wd:Q484847,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q3884> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q484847>)
} LIMIT 1"
Amazon_03,Amazon,What answer is reached by this graph path: Amazon --kg:engage--> cloud?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'amazon')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'cloud')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",cloud,wd:Q8074,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q3884> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q8074>)
} LIMIT 1"
Seal_01,Seal,What answer is reached by this graph path: Seal --kg:be--> Singer?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'seal')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'singer')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Singer,wd:Q1260201,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q218091> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q1260201>)
} LIMIT 1"
Seal_02,Seal,What answer is reached by this graph path: Seal --kg:be--> songwriter?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'seal')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'songwriter')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",songwriter,wd:Q753110,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q218091> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q753110>)
} LIMIT 1"
Seal_03,Seal,What answer is reached by this graph path: Seal --kg:be--> Record?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'seal')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'record')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",Record,wd:Q1458581,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q218091> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q1458581>)
} LIMIT 1"
Crane_01,Crane,What answer is reached by this graph path: Crane --kg:be--> derivative?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?answer WHERE {
  ?subject rdfs:label ?subjectLabel .
  FILTER(LCASE(REPLACE(STR(?subjectLabel), '\\s+', ' ')) = 'crane')
  ?answerEntity rdfs:label ?answerLabel .
  FILTER(LCASE(REPLACE(STR(?answerLabel), '\\s+', ' ')) = 'derivative')
  {
    ?subject ?predicate1 ?answerEntity .
  }
  UNION
  {
    ?subject ?predicate1 ?intermediate .
    ?intermediate ?predicate2 ?answerEntity .
  }
  BIND(STR(?answerLabel) AS ?answer)
} LIMIT 1",derivative,wd:Q29175,"SELECT ?answer WHERE {
  <http://www.wikidata.org/entity/Q16865841> ?predicate1 ?answer .
  FILTER(?answer = <http://www.wikidata.org/entity/Q29175>)
} LIMIT 1"
